Orthogroup	Acanthamoeba_castellani.NEFF	Babesia_bovis.T2Bo	Cryptosporidium_parvum	Eimeria_tenella	Entamoeba_histolytica.HM1IMSS	Giardia_intestinalis.AWB	Leishmania_donovani.BPK282A1	Leishmania_major.Friedlin	Maranthos_nigrum.EAF	Parvilucifera_sinerae.EAF	Perkinsus_marinus.high_quality	Plasmodium_falciparum	Sarcocystis_neurona.SN3	Theileria_annulata.Ankara	Toxoplasma_gondii	Trichomonas_vaginalis.G3	Trypanosoma_brucei.TREU927	Trypanosoma_cruzi.CLBElike
OG0023805	XP_004332792.1																	
OG0023806	XP_004332796.1																	
OG0023807	XP_004332798.1																	
OG0023808	XP_004332800.1																	
OG0023809	XP_004332801.1																	
OG0023810	XP_004332803.1																	
OG0023811	XP_004332813.1																	
OG0023812	XP_004332817.1																	
OG0023813	XP_004332819.1																	
OG0023814	XP_004332820.1																	
OG0023815	XP_004332823.1																	
OG0023816	XP_004332829.1																	
OG0023817	XP_004332833.1																	
OG0023818	XP_004332838.1																	
OG0023819	XP_004332844.1																	
OG0023820	XP_004332849.1																	
OG0023821	XP_004332851.1																	
OG0023822	XP_004332853.1																	
OG0023823	XP_004332854.1																	
OG0023824	XP_004332857.1																	
OG0023825	XP_004332866.1																	
OG0023826	XP_004332867.1																	
OG0023827	XP_004332870.1																	
OG0023828	XP_004332872.1																	
OG0023829	XP_004332886.1																	
OG0023830	XP_004332887.1																	
OG0023831	XP_004332890.1																	
OG0023832	XP_004332898.1																	
OG0023833	XP_004332899.1																	
OG0023834	XP_004332903.1																	
OG0023835	XP_004332904.1																	
OG0023836	XP_004332907.1																	
OG0023837	XP_004332912.1																	
OG0023838	XP_004332946.1																	
OG0023839	XP_004332952.1																	
OG0023840	XP_004332955.1																	
OG0023841	XP_004332967.1																	
OG0023842	XP_004332968.1																	
OG0023843	XP_004332971.1																	
OG0023844	XP_004332977.1																	
OG0023845	XP_004332979.1																	
OG0023846	XP_004332982.1																	
OG0023847	XP_004332983.1																	
OG0023848	XP_004332984.1																	
OG0023849	XP_004332987.1																	
OG0023850	XP_004332995.1																	
OG0023851	XP_004332996.1																	
OG0023852	XP_004332999.1																	
OG0023853	XP_004333002.1																	
OG0023854	XP_004333006.1																	
OG0023855	XP_004333025.1																	
